=HYPERLINK("https://www.pbs.org/show/all-heart/";"All Heart")	1	8		Drama	Italian		Step inside the halls of Turin’s Le Molinette hospital in the late 1960s. As the world changes, is brilliance any match for chauvinism? In Italian.
=HYPERLINK("https://www.pbs.org/video/the-american-and-the-swede-ga3f4s/";"All Heart, S01E01, The American and the Swede")			00:50:07			TV-MA	Alberto, an ingenious and passionate surgeon in Stockholm, and Delia, a brilliant cardiologist in Houston, return to Turin at Cesare’s request. Is fate giving them a second chance?
=HYPERLINK("https://www.pbs.org/video/until-love-do-us-part-bkngor/";"All Heart, S01E02, Until Love Do Us Part")			00:54:07			TV-MA	Delia's first day is awful: the skeptical glances of nuns and nurses sting, colleagues look at her with suspicion and patients don’t want to be treated by a woman. But what hurts the most is Alberto, who is hostile and dismissive.
=HYPERLINK("https://www.pbs.org/video/fathers-and-sons-v1sdrs/";"All Heart, S01E03, Fathers and Sons")			00:55:13			TV-MA	Everyone is anxiously awaiting the imminent visit of the bishop, whose positive opinion could unlock important funds and win the Church's support for research. Tension and resentment between Alberto and Delia boil over.
=HYPERLINK("https://www.pbs.org/video/useless-lies-83hkah/";"All Heart, S01E04, Useless Lies")			00:47:50			TV-MA	Rosa's condition has stabilized, but as Alberto and Delia argue over how to help her, she disappears. They must find Rosa – and quickly – because her condition could plummet. Next time it will take a stroke of genius to save her life.
=HYPERLINK("https://www.pbs.org/video/betrayals-cggwng/";"All Heart, S01E05, Betrayals")			00:48:42			TV-MA	A patient’s crazed boyfriend shoots another patient, and Mosca and Alberto try everything to stop the bleeding as the boy’s life hangs in the balance. Meanwhile, Alberto comes face to face with Ilaria, the woman with whom he betrayed Delia.
=HYPERLINK("https://www.pbs.org/video/revolving-doors-ybkzjz/";"All Heart, S01E06, Revolving Doors")			00:54:54			TV-MA	Ilaria's arrival has come at a terrible time, as Cesare has invited world renowned luminaries to attend his cardiac surgery congress. Expectations – and tensions – are high, as the Church and Catholic doctors struggle with transplantation.
=HYPERLINK("https://www.pbs.org/video/the-truth-3ktdkr/";"All Heart, S01E07, The Truth")			00:52:58			TV-MA	Delia is still upset about what she’s discovered. Determined to learn the truth that Alberto continues to deny her, she goes to Luisa for help. However, before she gets answers she is forced to return to the hospital to help an old friend.
=HYPERLINK("https://www.pbs.org/video/god-doesnt-play-dice-qekviw/";"All Heart, S01E08, God Doesn't Play Dice")			00:52:34			TV-MA	Alberto and Delia must try to help Cesare when he is accused of malpractice by Mosca. Meanwhile, Rosa and Virginia are forced to come to terms with the attraction they both feel for Fausto, and Karen must keep jealousy at bay.
=HYPERLINK("https://www.pbs.org/show/carmen-curlers/";"Carmen Curlers")	1	8		Drama	Danish		What began as two employees working out of a basement in 1963 grew into a worldwide phenomenon with a staff of thousands operating around the clock in a huge factory--complete with a helipad, a private kindergarten, and even its own fire station. In Danish.
=HYPERLINK("https://www.pbs.org/video/episode-1-t0gbkq/";"Carmen Curlers, S01E01, Episode 1")			00:54:53			TV-MA	Axel Byvang is having a shave when he overhears a woman asking to have her hair done for her son’s confirmation. Shortly after the woman leaves, humiliated, Axel finds an ad looking for investors for the invention of an electric curler
=HYPERLINK("https://www.pbs.org/video/episode-2-mstcxm/";"Carmen Curlers, S01E02, Episode 2")			00:54:18			TV-MA	Although the curler still does not work, Axel signs up for the year's largest beauty fair in Copenhagen, where he will demonstrate Axel’s Curlers. Will he be ready? Meanwhile, Birthe has a crisis at home.
