=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"Back in Crime")	1			Drama - crime	France	French	TV-14	When a Paris detective is injured in the course of a criminal investigation, he is transported twenty years into the past, and has a second chance at solving the most frustrating mystery of his career: a serial killer known as the Earwig.
=HYPERLINK("https://watch.mhzchoice.com/videos/back-in-crime-back-in-crime";"Back in Crime, S01E01, Back in Crime")			01:41:02					When a Paris detective is injured in the course of a criminal investigation, he is transported twenty years into the past, and has a second chance at solving the most frustrating mystery of his career: a serial killer known as the Earwig.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"OSS 117 Double Agent")	1			Drama - crime	France	French	TV-14	Agent OSS 117 infiltrates an organization that specializes in political assassinations, by assuming the identity of one of its top assassins.
=HYPERLINK("https://watch.mhzchoice.com/videos/oss-117-double-agent-oss-117-double-agent";"OSS 117 Double Agent, S01E01, OSS 117 Double Agent")			01:44:00					Agent OSS 117 infiltrates an organization that specializes in political assassinations, by assuming the identity of one of its top assassins.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"OSS 117 Mission for a Killer")	1			Drama - crime	France	French	TV-14	A wave of political crimes is washing over South America. Secret agent OSS 117 is in charge of cleaning up the affair. With a Brazilian woman, he reaches the Amazon where he finds Natives growing a mysterious plant that turns men into killer robots.
=HYPERLINK("https://watch.mhzchoice.com/videos/oss-117-mission-for-a-killer-oss-117-mission-for-a-killer";"OSS 117 Mission for a Killer, S01E01, OSS 117 Mission for a Killer")			01:42:41					A wave of political crimes is washing over South America. Secret agent OSS 117 is in charge of cleaning up the affair. With a Brazilian woman, he reaches the Amazon where he finds Natives growing a mysterious plant that turns men into killer robots.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"OSS 117 Mission to Tokyo")	1			Drama - crime	France	French	TV-14	After an American Navy base is annihilated by a secret weapon, Agent OSS 117 is sent to Japan to investigate the organization that's claiming responsibility, and threatening the US with another attack, if they don't pay.
=HYPERLINK("https://watch.mhzchoice.com/videos/oss-117-mission-to-tokyo-oss-117-mission-to-tokyo";"OSS 117 Mission to Tokyo, S01E01, OSS 117 Mission to Tokyo")			01:40:22					After an American Navy base is annihilated by a secret weapon, Agent OSS 117 is sent to Japan to investigate the organization that's claiming responsibility, and threatening the US with another attack, if they don't pay.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"OSS 117 Panic in Bangkok")	1			Drama - crime	France	French	TV-14	Agent OSS 117 is sent to Thailand to unravel the mysteries behind the man called Dr. Sinn.
=HYPERLINK("https://watch.mhzchoice.com/videos/oss-117-panic-in-bangkok-oss-117-panic-in-bangkok";"OSS 117 Panic in Bangkok, S01E01, OSS 117 Panic in Bangkok")			01:58:32					Agent OSS 117 is sent to Thailand to unravel the mysteries behind the man called Dr. Sinn.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"OSS 117 Unleashed")	1			Drama - crime	France	French	TV-14	An American agent disappears after a scuba diving reconnaissance mission in Corsica. The Secret Service sends agent code name OSS 117 to investigate.
=HYPERLINK("https://watch.mhzchoice.com/videos/oss-117-unleashed-oss-117-unleashed";"OSS 117 Unleashed, S01E01, OSS 117 Unleashed")			01:43:36					An American agent disappears after a scuba diving reconnaissance mission in Corsica. The Secret Service sends agent code name OSS 117 to investigate.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"Rapt")	1			Drama - crime	France	French	TV-14	Lucas Belvaux's edge-of-your-seat thriller, inspired by the 1978 kidnapping of French industrialist Edouard-Jean Empain, features a career-defining performance by Yvan Attal as a millionaire playboy who is abducted and held for ransom for 60 days.
=HYPERLINK("https://watch.mhzchoice.com/videos/rapt-rapt";"Rapt, S01E01, Rapt")			02:05:40					Lucas Belvaux's edge-of-your-seat thriller, inspired by the 1978 kidnapping of French industrialist Edouard-Jean Empain, features a career-defining performance by Yvan Attal as a millionaire playboy who is abducted and held for ransom for 60 days.
=HYPERLINK("https://watch.mhzchoice.com/films-from-kino-lorber";"Serial Killer 1")	1			Drama - crime	France	French	TV-14	When a woman is found with her throat cut, an eager rookie homicide squad inspector shrewdly unearths parallels between previously unrelated cases and gets caught up in an eight-year obsessive hunt for Serial Killer 1.
=HYPERLINK("https://watch.mhzchoice.com/videos/serial-killer-1-serial-killer-1-sk1";"Serial Killer 1, S01E01, Serial Killer 1 (SK1)")			02:00:25					When a woman is found with her throat cut, an eager rookie homicide squad inspector shrewdly unearths parallels between previously unrelated cases and gets caught up in an eight-year obsessive hunt for Serial Killer 1.
